    Rank Group    Score       Missing     Variable
     160  F     1.316E-01         170     XPC
     161  F     1.305E-01         170     TBC1D8
     162  F     1.303E-01         170     BIN2
     163  F     1.303E-01         170     PPM1K
     164  F     1.302E-01         170     ARPC4
     165  F     1.301E-01         170     ERCC2
     166  F     1.301E-01         170     EPHX1
     167  F     1.300E-01         170     SHQ1
     168  F     1.299E-01         170     ANXA1
     169  F     1.297E-01         170     MAGEB1
     170  F     1.296E-01         170     GUK1
     171  F     1.288E-01         170     NIF3L1
     172  F     1.286E-01         170     HHAT
     173  F     1.285E-01         170     PDE6B
     174  F     1.284E-01         170     FAM86C1
     175  F     1.282E-01         170     COX7B2
     176  F     1.278E-01         170     TBC1D14
     177  F     1.273E-01         170     DUSP16
     178  F     1.272E-01         170     EN1
     179  F     1.271E-01         170     ZNF43
     180  F     1.270E-01         170     SP110
     181  F     1.268E-01         170     EXD3
     182  F     1.265E-01         170     OR5AC2
     183  F     1.257E-01         170     SCN8A
     184  F     1.257E-01         170     KIAA1549
     185  F     1.256E-01         170     CCDC180
     186  F     1.253E-01         170     STK32B
     187  F     1.249E-01         170     RBM14
     188  F     1.248E-01         170     PAPL
     189  F     1.239E-01         170     F10
     190  F     1.238E-01         170     XRCC6BP1
     191  F     1.234E-01         170     PTBP1
     192  F     1.234E-01         170     GTSF1
     193  F     1.234E-01         170     TPM2
     194  F     1.234E-01         170     FUT5
     195  F     1.233E-01         170     SLC47A1
     196  F     1.229E-01         170     PRLHR
     197  F     1.225E-01         170     TCN2
     198  F     1.208E-01         170     AXDND1
     199  F     1.193E-01         170     NCCRP1
     200  F     1.193E-01         170     HNMT
     201  F     1.192E-01         170     HADH
     202  F     1.187E-01         170     PPP1R13B
     203  F     1.185E-01         170     ABL2
     204  F     1.183E-01         170     PURB
     205  F     1.180E-01         170     COL15A1
     206  F     1.175E-01         170     FAM193A
     207  F     1.174E-01         170     ACOT9
     208  F     1.174E-01         170     MAP1LC3A
     209  F     1.174E-01         170     RING1
     210  F     1.174E-01         170     TINF2
     211  F     1.174E-01         170     WTIP
     212  F     1.165E-01         170     MAP3K12
     213  F     1.158E-01         170     SOX5
     214  F     1.157E-01         170     RNF123
     215  F     1.153E-01         170     NAALADL2
     216  F     1.150E-01         170     POU6F2
     217  F     1.150E-01         170     VWC2L
     218  F     1.150E-01         170     USP43
     219  F     1.145E-01         170     CABS1
     220  F     1.139E-01         170     REN
     221  F     1.132E-01         170     THADA
     222  F     1.130E-01         170     STK33
     223  F     1.129E-01         170     NLRP7
     224  F     1.129E-01         170     AIFM3
     225  F     1.125E-01         170     ZNF132
     226  F     1.117E-01         170     EPS8L1
     227  F     1.115E-01         170     DVL3
     228  F     1.108E-01         170     SLTM
     229  F     1.103E-01         170     VGLL1
     230  F     1.101E-01         170     EVC
     231  F     1.094E-01         170     ARPC4.TTLL3
     232  F     1.091E-01         170     TMPRSS2
     233  F     1.090E-01         170     SNURF
     234  F     1.089E-01         170     NOL6
     235  F     1.081E-01         170     ATP5SL
     236  F     1.080E-01         170     SEL1L3
     237  F     1.070E-01         170     KIAA0319
     238  F     1.066E-01         170     ZNF197
     239  F     1.066E-01         170     EIF4B
     240  F     1.053E-01         170     SLC4A2
     241  F     1.041E-01         170     DNAI2
     242  F     1.036E-01         170     PCBP3
     243  F     1.033E-01         170     LTK
     244  F     1.024E-01         170     RANBP2
     245  F     1.021E-01         170     PER3
     246  F     1.021E-01         170     ZMIZ2
     247  F     1.015E-01         170     VPS13D
     248  F     1.008E-01         170     ALG3
     249  F     1.008E-01         170     PDK4
     250  F     1.008E-01         170     RPL23
     251  F     1.008E-01         170     OR4K2
     252  F     1.007E-01         170     NDEL1
     253  F     1.005E-01         170     STK36
     254  F     1.002E-01         170     DHX15
     255  F     9.982E-02         170     FIGNL1
     256  F     9.973E-02         170     TMEFF2
     257  F     9.949E-02         170     AASDH
     258  F     9.889E-02         170     ESYT1
     259  F     9.856E-02         170     KRTAP21.2
