    Rank Group    Score       Missing     Variable
     160  F     1.116E-01         165     CTNNBL1
     161  F     1.111E-01         165     ZNF606
     162  F     1.106E-01         165     UBQLN1
     163  F     1.106E-01         165     PLXNB2
     164  F     1.090E-01         165     DCT
     165  F     1.090E-01         165     GRXCR1
     166  F     1.084E-01         165     LTK
     167  F     1.083E-01         165     RNF10
     168  F     1.082E-01         165     AXDND1
     169  F     1.078E-01         165     CHL1
     170  F     1.076E-01         165     SLC7A7
     171  F     1.057E-01         165     DLGAP4
     172  F     1.056E-01         165     RFC1
     173  F     1.045E-01         165     ABL2
     174  F     1.031E-01         165     OR8D2
     175  F     1.027E-01         165     CDKL5
     176  F     1.026E-01         165     JAG1
     177  F     1.023E-01         165     ZNF804A
     178  F     1.021E-01         165     SCN1A
     179  F     1.008E-01         165     ZBTB33
     180  F     1.004E-01         165     RPS6KB2
     181  F     9.841E-02         165     NLRP9
     182  F     9.793E-02         165     SF3B1
     183  F     9.654E-02         165     EMR1
     184  F     9.549E-02         165     FAM171B
     185  F     9.544E-02         165     DOCK1
     186  F     9.438E-02         165     MGMT
     187  F     9.405E-02         165     PTPRC
     188  F     9.403E-02         165     MED12L
     189  F     9.376E-02         165     KIF24
     190  F     9.374E-02         165     EFHB
     191  F     9.347E-02         165     HEPN1
     192  F     9.347E-02         165     ARIH2
     193  F     9.347E-02         165     NCAPG
     194  F     9.289E-02         165     GANAB
     195  F     9.178E-02         165     G6PC
     196  F     9.119E-02         165     PARP9
     197  F     9.044E-02         165     LTB4R2
     198  F     9.031E-02         165     MAP3K19
     199  F     8.977E-02         165     OR6C2
     200  F     8.976E-02         165     SLC4A7
     201  F     8.920E-02         165     BTLA
     202  F     8.895E-02         165     GPR158
     203  F     8.880E-02         165     OR4K1
     204  F     8.759E-02         165     AGTRAP
     205  F     8.620E-02         165     ZNF711
     206  F     8.558E-02         165     ARMC10
     207  F     8.483E-02         165     OR2A5
     208  F     8.423E-02         165     TNFRSF25
     209  F     8.394E-02         165     CACNA2D3
     210  F     8.388E-02         165     MYO15A
     211  F     8.204E-02         165     NFASC
     212  F     8.145E-02         165     SOX13
     213  F     8.012E-02         165     PODXL
     214  F     7.965E-02         165     BCL11B
     215  F     7.863E-02         165     PCDHGC3
     216  F     7.844E-02         165     KMT2B
     217  F     7.834E-02         165     ACSS1
     218  F     7.796E-02         165     WFS1
     219  F     7.790E-02         165     SLC3A1
     220  F     7.789E-02         165     LHFPL3
     221  F     7.750E-02         165     EPHA3
     222  F     7.747E-02         165     TLN1
     223  F     7.746E-02         165     BIVM
     224  F     7.720E-02         165     PAK7
     225  F     7.693E-02         165     CD93
     226  F     7.645E-02         165     RBM12
     227  F     7.624E-02         165     TSKU
     228  F     7.585E-02         165     TRPM1
     229  F     7.504E-02         165     OR2F1
     230  F     7.452E-02         165     TMCC1
     231  F     7.452E-02         165     SUGP2
     232  F     7.379E-02         165     SLC26A9
     233  F     7.332E-02         165     GALNT5
     234  F     7.301E-02         165     FBXO18
     235  F     7.255E-02         165     RAB9B
     236  F     7.195E-02         165     GPBAR1
     237  F     7.173E-02         165     KCNH8
     238  F     7.101E-02         165     EVC
     239  F     7.099E-02         165     RYR3
     240  F     7.074E-02         165     EWSR1
     241  F     6.959E-02         165     PRX
     242  F     6.919E-02         165     ABCC4
     243  F     6.863E-02         165     CPS1
     244  F     6.802E-02         165     KIAA1549
     245  F     6.775E-02         165     MAP2
     246  F     6.710E-02         165     KIF15
     247  F     6.703E-02         165     ASIC4
     248  F     6.703E-02         165     ACTC1
     249  F     6.703E-02         165     KRTAP19.6
     250  F     6.703E-02         165     TNFSF10
     251  F     6.692E-02         165     COL6A6
     252  F     6.679E-02         165     ERBB3
     253  F     6.639E-02         165     MMRN1
     254  F     6.626E-02         165     DCX
     255  F     6.566E-02         165     DCDC2
     256  F     6.510E-02         165     DEDD2
     257  F     6.427E-02         165     ALS2
     258  F     6.420E-02         165     CSRNP2
     259  F     6.400E-02         165     ACBD4
     260  F     6.400E-02         165     PCDP1
     261  F     6.400E-02         165     NPNT
     262  F     6.394E-02         165     SMYD1
     263  F     6.310E-02         165     EHD1
     264  F     6.205E-02         165     POU6F1
     265  F     6.188E-02         165     NOX1
     266  F     6.172E-02         165     DLG3
     267  F     6.151E-02         165     CADPS
     268  F     6.121E-02         165     ERBB4
     269  F     6.102E-02         165     TAF7L
     270  F     6.083E-02         165     CACNA2D1
     271  F     6.029E-02         165     PCDHGA9
     272  F     5.980E-02         165     NAALADL1
     273  F     5.950E-02         165     DLEC1
     274  F     5.929E-02         165     MCF2L
     275  F     5.859E-02         165     ERBB2
     276  F     5.835E-02         165     KIF21B
     277  F     5.760E-02         165     NRK
     278  F     5.752E-02         165     DTL
