    Rank Group    Score       Missing     Variable
     158  F     6.279E-02         170     ZNF862
     159  F     6.278E-02         170     VPS33A
     160  F     6.278E-02         170     ARID5A
     161  F     6.277E-02         170     TLE1
     162  F     6.276E-02         170     BRWD1
     163  F     6.275E-02         170     LRRTM1
     164  F     6.270E-02         170     ANKIB1
     165  F     6.266E-02         170     AAAS
     166  F     6.265E-02         170     BRAP
     167  F     6.264E-02         170     HJURP
     168  F     6.263E-02         170     MAP7D3
     169  F     6.262E-02         170     ANGPT4
     170  F     6.260E-02         170     MICAL3
     171  F     6.250E-02         170     MLXIP
     172  F     6.249E-02         170     RCOR3
     173  F     6.249E-02         170     PCDHB11
     174  F     6.239E-02         170     FPR3
     175  F     6.238E-02         170     ARNTL2
     176  F     6.235E-02         170     PIK3R6
     177  F     6.234E-02         170     FANCB
     178  F     6.230E-02         170     AFF1
     179  F     6.230E-02         170     FAM133A
     180  F     6.229E-02         170     DHRS7B
     181  F     6.228E-02         170     ZNF398
     182  F     6.223E-02         170     NXF3
     183  F     6.220E-02         170     TTI1
     184  F     6.218E-02         170     PARP2
     185  F     6.214E-02         170     GUF1
     186  F     6.209E-02         170     SLC26A6
     187  F     6.209E-02         170     ZFP82
     188  F     6.203E-02         170     CORO2B
     189  F     6.202E-02         170     KCTD3
     190  F     6.198E-02         170     LAMC2
     191  F     6.195E-02         170     ATP11A
     192  F     6.177E-02         170     WDR44
     193  F     6.176E-02         170     GLT1D1
     194  F     6.175E-02         170     FOXI1
     195  F     6.173E-02         170     LAMC1
     196  F     6.172E-02         170     SAMD11
     197  F     6.169E-02         170     SPSB4
     198  F     6.166E-02         170     FBXL2
     199  F     6.165E-02         170     HLCS
     200  F     6.162E-02         170     TIGD3
     201  F     6.161E-02         170     NLRP5
     202  F     6.160E-02         170     HOXD12
     203  F     6.158E-02         170     GPR39
     204  F     6.155E-02         170     TMEM176A
     205  F     6.154E-02         170     TFRC
     206  F     6.153E-02         170     PPP1R13L
     207  F     6.152E-02         170     KRTAP6.3
     208  F     6.151E-02         170     PIH1D3
     209  F     6.147E-02         170     ATG9A
     210  F     6.147E-02         170     TEK
     211  F     6.147E-02         170     HRASLS
     212  F     6.146E-02         170     YEATS4
     213  F     6.146E-02         170     IP6K2
     214  F     6.145E-02         170     NUP54
     215  F     6.142E-02         170     NEUROD2
     216  F     6.142E-02         170     UVRAG
     217  F     6.138E-02         170     SART1
     218  F     6.134E-02         170     TBC1D15
     219  F     6.131E-02         170     PPTC7
     220  F     6.128E-02         170     HEMGN
     221  F     6.127E-02         170     TAS2R60
     222  F     6.120E-02         170     TANC1
     223  F     6.118E-02         170     ZNF782
     224  F     6.117E-02         170     CAMK1G
     225  F     6.116E-02         170     CLK1
     226  F     6.115E-02         170     PXMP4
     227  F     6.113E-02         170     MRE11A
     228  F     6.113E-02         170     CNOT10
     229  F     6.113E-02         170     PRPF40B
     230  F     6.112E-02         170     DCAF4L1
     231  F     6.106E-02         170     CASR
     232  F     6.106E-02         170     STAG3
     233  F     6.104E-02         170     GGT1
     234  F     6.096E-02         170     CEBPA
     235  F     6.096E-02         170     KIAA1161
     236  F     6.095E-02         170     CYP2A7
     237  F     6.092E-02         170     MYADM
     238  F     6.091E-02         170     NUP107
     239  F     6.089E-02         170     CARS2
     240  F     6.086E-02         170     GLP2R
     241  F     6.085E-02         170     SLC38A1
     242  F     6.082E-02         170     ABCB6
     243  F     6.080E-02         170     NOX5
     244  F     6.066E-02         170     GSK3A
     245  F     6.064E-02         170     PTGDR2
     246  F     6.064E-02         170     BTK
     247  F     6.063E-02         170     COLGALT2
     248  F     6.062E-02         170     ETV2
     249  F     6.061E-02         170     MARK4
     250  F     6.059E-02         170     TSPEAR
     251  F     6.058E-02         170     UTP20
     252  F     6.058E-02         170     ZNF471
     253  F     6.054E-02         170     NLGN1
     254  F     6.052E-02         170     AFP
     255  F     6.052E-02         170     PWWP3A
