    Rank Group    Score       Missing     Variable
     153  A     3.584E+00          88     GPI
     154  A     3.584E+00          88     CACNG6
     155  A     3.584E+00          88     MEF2B
     156  A     3.584E+00          88     ATP4B
     157  A     3.584E+00          88     FOXN2
     158  A     3.584E+00          88     LILRB3
     159  A     3.584E+00          88     ARRDC1
     160  A     3.584E+00          88     TAF6
     161  A     3.584E+00          88     VN1R1
     162  A     3.584E+00          88     PIAS4
     163  A     3.584E+00          88     FAR1
     164  A     3.584E+00          88     PLIN5
     165  A     3.584E+00          88     FUT7
     166  A     3.584E+00          88     PCDP1
     167  A     3.584E+00          88     RPL39
     168  A     3.584E+00          88     IL13RA1
     169  A     3.584E+00          88     MIIP
     170  A     3.584E+00          88     PAX5
     171  A     3.584E+00          88     ANP32D
     172  A     3.584E+00          88     CCDC13
     173  A     3.584E+00          88     FHL2
     174  A     3.584E+00          88     ZNF660
     175  A     3.584E+00          88     CHI3L1
     176  A     3.584E+00          88     NUP98
     177  A     3.584E+00          88     TTLL10
     178  A     3.584E+00          88     OTUD6B
     179  A     3.584E+00          88     CD70
     180  A     3.584E+00          88     SCLY
     181  A     3.584E+00          88     ADAT3
     182  A     3.584E+00          88     ENTPD6
     183  A     3.584E+00          88     REM1
     184  A     3.584E+00          88     KRTAP19.8
     185  A     3.584E+00          88     FDCSP
     186  A     3.584E+00          88     AIF1
     187  A     3.584E+00          88     P2RY10
     188  A     3.584E+00          88     NPL
     189  A     3.584E+00          88     WARS
     190  A     3.584E+00          88     CIDEB
     191  A     3.584E+00          88     KRT27
     192  A     3.584E+00          88     ATOH8
     193  A     3.584E+00          88     C3orf72
     194  A     3.584E+00          88     POLM
     195  A     3.584E+00          88     SIPA1
     196  A     3.584E+00          88     NAGS
     197  A     3.584E+00          88     UGT2B28
     198  A     3.584E+00          88     RASGEF1B
     199  A     3.584E+00          88     LIN7A
     200  A     3.576E+00          88     DUSP16
     201  A     3.576E+00          88     CCDC149
     202  A     3.576E+00          88     TMEM119
     203  A     3.573E+00          88     B3GNT2
     204  A     3.573E+00          88     ING1
     205  A     3.567E+00          88     BACH1
     206  A     3.566E+00          88     GDI1
     207  A     3.565E+00          88     KPNB1
     208  A     3.565E+00          88     BLOC1S4
     209  A     3.565E+00          88     AGFG1
     210  A     3.565E+00          88     SLC45A3
     211  A     3.565E+00          88     APOE
     212  A     3.565E+00          88     STAM2
     213  A     3.565E+00          88     C2orf62
     214  A     3.565E+00          88     STAMBP
     215  A     3.565E+00          88     ZNF502
     216  A     3.565E+00          88     LRRC17
     217  A     3.565E+00          88     ANKRD16
     218  A     3.565E+00          88     ZNF679
     219  A     3.565E+00          88     SNX12
     220  A     3.565E+00          88     ST3GAL4
     221  A     3.565E+00          88     PRDM4
     222  A     3.565E+00          88     NUDCD3
     223  A     3.565E+00          88     OR8B4
     224  A     3.565E+00          88     PAK1
     225  A     3.565E+00          88     LAMTOR3
     226  A     3.565E+00          88     AKAP14
     227  A     3.564E+00          88     GPR25
     228  A     3.564E+00          88     PGAP3
     229  A     3.564E+00          88     CBFA2T2
     230  A     3.557E+00          88     C9orf152
     231  A     3.556E+00          88     KRTAP12.1
     232  A     3.556E+00          88     C17orf103
     233  A     3.556E+00          88     PSMD8
     234  A     3.556E+00          88     TAS1R3
     235  A     3.554E+00          88     DUSP15
     236  A     3.554E+00          88     HPSE
     237  A     3.554E+00          88     VWA1
     238  A     3.552E+00          88     MAGEA6
     239  A     3.552E+00          88     WDR62
     240  A     3.552E+00          88     FAM118B
     241  A     3.552E+00          88     RTN3
     242  A     3.552E+00          88     UBE2E2
     243  A     3.552E+00          88     CCDC104
     244  A     3.552E+00          88     SGTA
     245  A     3.552E+00          88     TBC1D28
     246  A     3.552E+00          88     SHD
     247  A     3.552E+00          88     DCLRE1C
     248  A     3.552E+00          88     CSRP1
     249  A     3.552E+00          88     RPN2
     250  A     3.552E+00          88     C1orf186
     251  A     3.552E+00          88     SNRNP35
     252  A     3.552E+00          88     TAGLN3
     253  A     3.552E+00          88     B4GALT1
     254  A     3.552E+00          88     SRXN1
     255  A     3.552E+00          88     SLC2A11
     256  A     3.552E+00          88     MTA3
     257  A     3.552E+00          88     ACTC1
     258  A     3.552E+00          88     GPR173
     259  A     3.552E+00          88     TBC1D10A
     260  A     3.545E+00          88     SMARCD1
     261  A     3.545E+00          88     GSTT1
     262  A     3.545E+00          88     COX7B
     263  A     3.544E+00          88     MAPK8IP2
     264  A     3.544E+00          88     DBX2
     265  A     3.544E+00          88     USP39
     266  A     3.540E+00          88     EN1
     267  A     3.540E+00          88     ZCWPW1
     268  A     3.540E+00          88     OCIAD1
     269  A     3.540E+00          88     CENPV
     270  A     3.540E+00          88     SPANXN3
     271  A     3.538E+00          88     ARMCX5
     272  A     3.538E+00          88     RASAL1
     273  A     3.538E+00          88     LDOC1
     274  A     3.537E+00          88     ACOT7
     275  A     3.537E+00          88     TMEM135
     276  A     3.536E+00          88     OXA1L
     277  A     3.534E+00          88     KANSL3
     278  A     3.534E+00          88     TOMM34
     279  A     3.534E+00          88     FZD8
     280  A     3.534E+00          88     CCDC69
     281  A     3.534E+00          88     LHPP
     282  A     3.534E+00          88     NSF
     283  A     3.534E+00          88     IL36RN
     284  A     3.534E+00          88     MCRS1
     285  A     3.534E+00          88     KCNE2
     286  A     3.534E+00          88     ETAA1
     287  A     3.534E+00          88     MAGEB1
     288  A     3.534E+00          88     LRRN4
     289  A     3.534E+00          88     FBXO10
     290  A     3.534E+00          88     TRMT6
     291  A     3.534E+00          88     GPR1
     292  A     3.533E+00          88     C19orf55
     293  A     3.532E+00          88     MYOG
     294  A     3.532E+00          88     TMIGD2
     295  A     3.531E+00          88     TTL
     296  A     3.531E+00          88     WDR25
     297  A     3.531E+00          88     TCF15
     298  A     3.529E+00          88     ETV5
     299  A     3.527E+00          88     FBXO6
     300  A     3.527E+00          88     STARD8
     301  A     3.526E+00          88     C15orf54
     302  A     3.526E+00          88     HES6
     303  A     3.526E+00          88     AHSG
     304  A     3.526E+00          88     TCEAL1
     305  A     3.526E+00          88     C12orf68
     306  A     3.526E+00          88     HIST3H3
     307  A     3.526E+00          88     ICAM3
     308  A     3.526E+00          88     ACTR3
     309  A     3.526E+00          88     ZNF830
     310  A     3.526E+00          88     IRF6
     311  A     3.526E+00          88     LPAR1
     312  A     3.526E+00          88     PLP2
     313  A     3.526E+00          88     FAM45A
     314  A     3.526E+00          88     PLEK
     315  A     3.526E+00          88     EFNB2
     316  A     3.526E+00          88     DEPDC4
     317  A     3.526E+00          88     PTAR1
     318  A     3.526E+00          88     NDUFS7
     319  A     3.526E+00          88     SGMS2
     320  A     3.526E+00          88     APOPT1
     321  A     3.526E+00          88     SPPL3
     322  A     3.526E+00          88     FANCG
     323  A     3.526E+00          88     DENND6B
     324  A     3.526E+00          88     WDR92
     325  A     3.526E+00          88     MYL4
     326  A     3.524E+00          88     MOSPD1
     327  A     3.523E+00          88     LILRA5
     328  A     3.522E+00          88     ASCL4
     329  A     3.522E+00          88     RAN
     330  A     3.522E+00          88     CS
     331  A     3.522E+00          88     CSRNP2
     332  A     3.522E+00          88     C12orf50
     333  A     3.522E+00          88     C12orf42
     334  A     3.522E+00          88     CCDC53
     335  A     3.522E+00          88     KRR1
     336  A     3.522E+00          88     M1AP
     337  A     3.522E+00          88     IGFBP7
     338  A     3.522E+00          88     GRXCR1
     339  A     3.522E+00          88     ZCCHC4
     340  A     3.522E+00          88     C2orf66
     341  A     3.522E+00          88     MOB4
     342  A     3.522E+00          88     CSN2
     343  A     3.522E+00          88     RCHY1
     344  A     3.522E+00          88     FOXD1
     345  A     3.522E+00          88     SMIM43
     346  A     3.522E+00          88     CAMK2D
     347  A     3.522E+00          88     C4orf22
     348  A     3.522E+00          88     SCARB2
     349  A     3.522E+00          88     EIF4G1
     350  A     3.522E+00          88     GOLIM4
     351  A     3.522E+00          88     SLC25A20
     352  A     3.522E+00          88     ACVR2B
     353  A     3.522E+00          88     IL17RC
     354  A     3.522E+00          88     MTMR14
     355  A     3.522E+00          88     FEV
     356  A     3.522E+00          88     IL17RB
     357  A     3.522E+00          88     CHMP2B
     358  A     3.522E+00          88     IFT80
     359  A     3.522E+00          88     C3orf58
     360  A     3.522E+00          88     TRH
     361  A     3.522E+00          88     POPDC2
     362  A     3.522E+00          88     CLDND1
     363  A     3.522E+00          88     C5orf46
     364  A     3.522E+00          88     GEMIN5
     365  A     3.522E+00          88     PLCB3
     366  A     3.522E+00          88     FADS3
     367  A     3.522E+00          88     IL1R2
     368  A     3.522E+00          88     FAM204A
