    Rank Group    Score       Missing     Variable
     143  D     8.476E-01           0     LIFINSPQ
     144  D     8.345E-01           0     VELECTRP
     145  D     8.249E-01           0     ELCTRCPQ
     146  D     8.241E-01           0     ENTERTPQ
     147  D     8.235E-01           0     MEDSRVCQ
     148  D     8.186E-01           0     PROPTXCQ
     149  D     8.033E-01           0     EENTRMTC
     150  D     8.020E-01           0     PERINSCQ
     151  D     8.019E-01           0     VWATERPP
     152  D     7.915E-01        1620     INCOMEY2
     153  D     7.852E-01           0     RNATLGAC
     154  D     7.836E-01           0     UTILCQ
     155  E     7.746E-01           0     TELEPHCQ
     156  E     7.653E-01        2483     LIQUDYR
     157  E     7.527E-01           0     AS_COMP4
     158  E     7.440E-01           0     ALCBEVCQ
     159  E     7.387E-01        2451     OTHSTYRX
     160  E     7.299E-01           0     OWNDWEPQ
     161  E     7.285E-01        2456     STOCKYRB
     162  E     7.208E-01           0     VNATLGAP
     163  E     7.192E-01        2428     FS_MTHI
     164  E     7.169E-01           0     NTLGASPQ
     165  E     7.166E-01           0     SHELTPQ
     166  E     7.138E-01           0     EENTRMTP
     167  E     7.117E-01           0     ESHELTRP
     168  E     7.063E-01        2468     STOCKYR
     169  E     6.983E-01        2456     STCKYRBX
     170  E     6.933E-01           0     AS_COMP2
     171  E     6.883E-01           0     FOODPQ
     172  E     6.554E-01           0     ELCTRCCQ
     173  E     6.425E-01           0     AS_COMP5
     174  E     6.389E-01        2463     STOCKB
     175  E     6.363E-01           0     FGOVRETM
     176  E     6.362E-01           0     FGOVRETX
     177  E     6.258E-01           0     OWNDWECQ
     178  E     6.250E-01           0     RNTAPYPQ
     179  F     6.236E-01           0     VEHQ
     180  F     6.230E-01           0     EMISCMTP
     181  F     6.214E-01           0     NUM_AUTO
     182  F     6.190E-01           0     NONINCMX
     183  F     6.162E-01           0     FEEADMCQ
     184  F     6.056E-01        2383     ROYESTX
     185  F     6.028E-01           0     VNATLGAC
     186  F     5.974E-01           0     FEEADMPQ
     187  F     5.965E-01        2485     STDNTYR
     188  F     5.954E-01           0     LIFINSCQ
     189  F     5.919E-01           0     BUILDING
     190  F     5.905E-01        2463     STOCKBX
     191  F     5.861E-01           0     HOUSCQ
     192  F     5.857E-01        2395     VEHICTAX
     193  F     5.788E-01           0     TTRNTRIP
     194  F     5.788E-01           0     TRNTRPPQ
     195  F     5.763E-01           0     EMISCMTC
     196  F     5.747E-01          25     REGION
     197  F     5.651E-01           0     HOUSOPCQ
     198  F     5.602E-01           0     VRNTLOPQ
     199  F     5.584E-01           0     EOWNDWLP
     200  F     5.519E-01        2471     OTHREGBX
     201  F     5.519E-01        2471     OTHREGB
     202  F     5.499E-01           0     TOTEXPCQ
     203  F     5.499E-01           0     TOTEX4CQ
     204  F     5.449E-01           0     POPSIZE
     205  F     5.429E-01        2410     IRAYRB
     206  F     5.385E-01           0     MEDSUPCQ
     207  F     5.374E-01           0     VEHQL
     208  F     5.372E-01        1092     HISP2
     209  F     5.335E-01           0     MEDSRVPQ
     210  F     5.289E-01           0     OTHLODPQ
     211  F     5.287E-01           0     EOTHLODP
     212  F     5.101E-01           0     OTHHEXPQ
     213  F     5.075E-01           0     TFAREP
     214  F     5.062E-01        2394     OTHRINCX
     215  F     5.029E-01           0     RNTXRPCQ
     216  F     4.983E-01           0     ETOTACX4
     217  F     4.983E-01           0     ETOTALC
     218  F     4.931E-01           0     UNISTRQ
     219  F     4.894E-01        2459     OTHFINX
     220  F     4.892E-01        2410     IRAYRBX
     221  F     4.875E-01        2422     IRAB
     222  F     4.834E-01           0     BBYDAYPQ
     223  F     4.822E-01           0     NUM_TVAN
     224  F     4.821E-01        2422     IRABX
     225  F     4.761E-01           0     MISCEQCQ
     226  F     4.760E-01        1994     CREDFINX
     227  F     4.724E-01           0     FSSIX
     228  F     4.677E-01           0     MISCCQ
     229  F     4.677E-01           0     MISCX4CQ
     230  F     4.677E-01           0     MISC1CQ
     231  F     4.676E-01           0     EMISCELC
     232  F     4.645E-01        2449     OTHASTX
     233  F     4.608E-01           0     TENTRMNP
     234  F     4.549E-01           0     TAIRFARP
     235  F     4.437E-01           0     OTHEQPCQ
     236  F     4.366E-01           0     ALLFULCQ
     237  F     4.344E-01           0     RNATLGAP
     238  F     4.270E-01           0     VRNTLOCQ
     239  F     4.158E-01           0     WATRPSCQ
     240  F     4.148E-01           0     ENOMOTRP
     241  F     4.130E-01           0     FDHOMEPQ
     242  F     4.109E-01           0     BBYDAYCQ
     243  F     4.108E-01           0     TVRDIOCQ
     244  F     4.090E-01           0     UTILRNTC
     245  F     4.090E-01           0     RWATERPC
     246  F     4.089E-01           0     RELECTRC
     247  F     4.086E-01           0     RENDWECQ
     248  F     4.049E-01           0     FULOILCQ
     249  F     4.024E-01           0     HOUSEQCQ
     250  F     4.021E-01           0     OWNVACC
     251  F     4.021E-01           0     VOTHRLOC
     252  F     3.986E-01           0     EHOUSNGC
     253  F     3.956E-01           0     TFEESADP
     254  F     3.925E-01           0     ECARTKUC
     255  F     3.885E-01           0     RELECTRP
     256  F     3.824E-01           0     AS_COMP1
     257  F     3.793E-01           0     TOTHRLOP
     258  F     3.754E-01           0     PUBTRAPQ
     259  F     3.737E-01        2245     OTHREGX
     260  F     3.715E-01           0     EMOTRVHP
     261  F     3.690E-01           0     EOTHVEHP
     262  F     3.640E-01           0     BUSCREEN
     263  F     3.614E-01           0     RWATERPP
     264  F     3.610E-01           0     OTHAPLCQ
     265  F     3.569E-01           0     JFS_AMT
     266  F     3.535E-01           0     CARTKUPQ
     267  F     3.527E-01           0     FDMAPPQ
     268  F     3.515E-01           1     MEALSPAY
     269  F     3.500E-01           0     TEXTILPQ
     270  F     3.488E-01           0     TALCBEVP
     271  F     3.481E-01           0     ST_HOUS
     272  F     3.468E-01           0     EOTHVEHC
     273  F     3.426E-01           0     TTRANPRP
     274  F     3.423E-01           0     BLS_URBN
     275  F     3.408E-01           0     HISP_REF
     276  F     3.367E-01           0     OTHFLSCQ
     277  F     3.355E-01        2453     CREDYR
     278  F     3.280E-01           0     HH_CU_Q
     279  F     3.245E-01           0     TOBACCPQ
     280  F     3.226E-01        2419     HORREF2
     281  F     3.224E-01           0     CARTKNPQ
     282  F     3.205E-01           0     OTHHEXCQ
     283  F     3.203E-01           0     TVRENTLC
     284  F     3.203E-01           0     TOTHTREC
     285  F     3.194E-01           0     SMSASTAT
     286  F     3.151E-01           0     APPARCQ
     287  F     3.126E-01           0     CARTKNCQ
     288  F     3.115E-01        2466     CREDYRBX
     289  F     3.098E-01        2466     CREDYRB
     290  F     3.072E-01           0     FOODCQ
     291  F     3.007E-01           0     TALCBEVC
     292  F     2.999E-01           0     EMISCELP
     293  F     2.998E-01           0     MISC1PQ
     294  F     2.998E-01           0     MISCX4PQ
     295  F     2.998E-01           0     MISCPQ
     296  F     2.998E-01        2384     HORREF1
     297  F     2.960E-01           0     TOTHENTC
     298  F     2.951E-01        2474     CREDITBX
     299  F     2.925E-01           0     EMOTRVHC
     300  F     2.920E-01        2474     CREDITB
     301  F     2.916E-01           0     VEHFINCQ
     302  F     2.913E-01           0     PERSCACQ
     303  F     2.908E-01           0     TFAREC
     304  F     2.890E-01           0     ENOMOTRC
     305  F     2.889E-01        2477     OTHLNYR
     306  F     2.837E-01           0     TGASMOTP
     307  F     2.816E-01           0     EDUCAPQ
     308  F     2.813E-01        2406     WHOLIFX
     309  F     2.792E-01           0     PETTOYCQ
     310  F     2.760E-01           0     UTILRNTP
     311  F     2.739E-01           0     TLOCALTP
     312  F     2.737E-01           0     VOTHRFLC
     313  F     2.732E-01           0     TOTHFARC
     314  F     2.721E-01        1894     DEFBENRP
     315  F     2.685E-01        2449     OTHLONX
     316  F     2.679E-01        2413     STUDFINX
     317  F     2.677E-01        1974     CREDITX
     318  F     2.672E-01        2448     MLPAYWKX
     319  F     2.659E-01           0     ESHELTRC
     320  F     2.653E-01           0     EVEHPURC
     321  F     2.649E-01           0     MENSIXPQ
     322  F     2.649E-01           0     MENBOYPQ
     323  F     2.620E-01           0     MRTPRNOC
     324  F     2.618E-01           0     EMRTPNVC
     325  F     2.606E-01           0     TVRENTLP
     326  F     2.606E-01           0     TOTHTREP
     327  F     2.584E-01        2404     STDNTYRX
     328  F     2.574E-01           0     VEHINSPQ
     329  F     2.553E-01           0     GASMOCQ
     330  F     2.551E-01           0     FDMAPCQ
     331  F     2.543E-01           0     EDUCACQ
     332  F     2.536E-01        2446     MLPYQWKS
     333  F     2.530E-01        2018     LIQUDYRX
     334  F     2.501E-01           0     EMRTPNVP
     335  F     2.495E-01           0     MEDSUPPQ
     336  F     2.456E-01        1996     LIQUIDX
     337  F     2.437E-01           0     CASHCOCQ
     338  F     2.416E-01           0     FLRCVRPQ
     339  F     2.411E-01           0     TRNTRPCQ
     340  F     2.411E-01           0     TTRNTRIC
     341  F     2.397E-01           0     NTLGASCQ
     342  F     2.382E-01           0     TOTHENTP
     343  F     2.375E-01           0     ECARTKNP
     344  F     2.330E-01        2448     FMLPYYRX
     345  F     2.303E-01           0     FLRCVRCQ
     346  F     2.276E-01        2450     OTHLNYRX
     347  F     2.246E-01           0     TVRDIOPQ
     348  F     2.218E-01           0     TOTHFARP
     349  F     2.198E-01           0     FDXMAPCQ
     350  F     2.167E-01           0     PREDRGPQ
     351  F     2.165E-01           0     FDAWAYCQ
     352  F     2.131E-01           0     FSMPFRMX
     353  F     2.127E-01           0     TRNOTHPQ
     354  F     2.111E-01           0     FULOILPQ
     355  F     2.106E-01        2404     STUDNTX
     356  F     2.058E-01           0     VOTHRFLP
     357  F     2.051E-01           0     TTOTALP
     358  F     2.040E-01           0     CARTKUCQ
     359  F     1.986E-01        2424     LIQUDYRB
     360  F     1.962E-01           0     UTILOWNP
     361  F     1.957E-01           0     OTHEQPPQ
     362  F     1.939E-01           0     MRTPRNOP
     363  F     1.915E-01           0     TAIRFARC
     364  F     1.890E-01           0     OTHLODCQ
     365  F     1.890E-01           0     EOTHLODC
     366  F     1.875E-01           0     TFOODAWP
     367  F     1.867E-01        2437     LIQUIDB
     368  F     1.858E-01           0     VOTHRLOP
     369  F     1.858E-01           0     OWNVACP
     370  F     1.849E-01           0     OTHENTCQ
     371  F     1.847E-01        2424     LIQDYRBX
     372  F     1.825E-01           0     EOTHENTP
     373  F     1.804E-01           0     ECARTKNC
     374  F     1.785E-01           0     TFOODTOP
     375  F     1.735E-01           0     SHELTCQ
     376  F     1.716E-01           0     FURNTRPQ
     377  F     1.715E-01           0     ALLFULPQ
     378  F     1.696E-01           0     ETRANPTP
     379  F     1.696E-01        1887     LIQUID
     380  F     1.675E-01        2437     LIQUIDBX
     381  F     1.655E-01           0     TRNOTHCQ
     382  F     1.643E-01           0     OTHFLSPQ
     383  F     1.564E-01           0     FDHOMECQ
     384  F     1.528E-01           0     GASMOPQ
     385  F     1.511E-01           0     TFOODAWC
     386  F     1.499E-01           0     ETRANPTC
     387  F     1.497E-01           0     MAINRPCQ
     388  F     1.491E-01           0     MISCEQPQ
     389  F     1.491E-01        1882     OTHLOAN
     390  F     1.484E-01        2411     WHLFYRX
     391  F     1.473E-01           0     MENBOYCQ
     392  F     1.473E-01           0     MENSIXCQ
     393  F     1.467E-01           0     OTHENTPQ
     394  F     1.442E-01           0     EENTMSCC
     395  F     1.365E-01           0     MAINRPPQ
