    Rank Group    Score       Missing     Variable
     155  A     3.446E+00          88     CPA2
     156  A     3.445E+00          88     GPI
     157  A     3.445E+00          88     STK17B
     158  A     3.442E+00          88     ZNF559.ZNF177
     159  A     3.441E+00          88     TNNI3
     160  A     3.441E+00          88     ACVR2B
     161  A     3.441E+00          88     ASB9
     162  A     3.441E+00          88     TTC7A
     163  A     3.441E+00          88     SLC35A5
     164  A     3.440E+00          88     ZCWPW1
     165  A     3.440E+00          88     PTPN18
     166  A     3.439E+00          88     REM1
     167  A     3.437E+00          88     FAM204A
     168  A     3.437E+00          88     ZNF185
     169  A     3.437E+00          88     LASP1
     170  A     3.437E+00          88     GPC2
     171  A     3.436E+00          88     CLMP
     172  A     3.436E+00          88     KCTD10
     173  A     3.433E+00          88     PRSS38
     174  A     3.433E+00          88     XPC
     175  A     3.430E+00          88     CTSL
     176  A     3.430E+00          88     RBBP9
     177  A     3.430E+00          88     CORIN
     178  A     3.428E+00          88     MAP4K4
     179  A     3.427E+00          88     RECK
     180  A     3.419E+00          88     PPP1R3F
     181  A     3.416E+00          88     FAM188A
     182  A     3.414E+00          88     KCTD15
     183  A     3.412E+00          88     STRIP2
     184  A     3.411E+00          88     DGAT2L6
     185  A     3.411E+00          88     ZNF514
     186  A     3.411E+00          88     CHFR
     187  A     3.411E+00          88     NIFK
     188  A     3.409E+00          88     RPL35A
     189  A     3.403E+00          88     HIST1H2BG
     190  A     3.402E+00          88     CSRNP2
     191  A     3.402E+00          88     REC8
     192  A     3.399E+00          88     CCNB1IP1
     193  A     3.399E+00          88     AADACL2
     194  A     3.398E+00          88     C19orf47
     195  A     3.396E+00          88     UAP1L1
     196  A     3.395E+00          88     EPHB3
     197  A     3.394E+00          88     CHST8
     198  A     3.394E+00          88     P2RY10
     199  A     3.394E+00          88     TTLL10
     200  A     3.394E+00          88     ATOH8
     201  A     3.393E+00          88     MED24
     202  A     3.393E+00          88     C3orf58
     203  A     3.390E+00          88     NLRP7
     204  A     3.388E+00          88     CSF3
     205  A     3.388E+00          88     SLC39A5
     206  A     3.387E+00          88     DGAT2
     207  A     3.386E+00          88     PNPT1
     208  A     3.386E+00          88     PRKCZ
     209  A     3.386E+00          88     PRR15L
     210  A     3.386E+00          88     HOXC4
     211  A     3.386E+00          88     LAGE3
     212  A     3.386E+00          88     SP110
     213  A     3.386E+00          88     HIC2
     214  A     3.386E+00          88     BEND7
     215  A     3.386E+00          88     SH3KBP1
     216  A     3.384E+00          88     A4GNT
     217  A     3.383E+00          88     ITCH
     218  A     3.383E+00          88     SYS1
     219  A     3.382E+00          88     CLCN6
     220  A     3.382E+00          88     HNMT
     221  A     3.381E+00          88     THNSL2
     222  A     3.381E+00          88     RQCD1
     223  A     3.381E+00          88     AFAP1L2
     224  A     3.381E+00          88     TM9SF1
     225  A     3.381E+00          88     PPFIA1
     226  A     3.379E+00          88     FBXO18
     227  A     3.377E+00          88     ADH5
     228  A     3.376E+00          88     SEC14L2
     229  A     3.376E+00          88     UNC80
     230  A     3.375E+00          88     ARPC4.TTLL3
     231  A     3.374E+00          88     ARHGEF4
     232  A     3.374E+00          88     ZNF3
     233  A     3.374E+00          88     CEACAM18
     234  A     3.373E+00          88     DCDC2
     235  A     3.371E+00          88     DDN
     236  A     3.368E+00          88     DENND6A
     237  A     3.367E+00          88     CD99L2
     238  A     3.367E+00          88     SHROOM4
     239  A     3.366E+00          88     PHKG1
     240  A     3.366E+00          88     GRXCR1
     241  A     3.366E+00          88     RCHY1
     242  A     3.364E+00          88     PANX1
     243  A     3.364E+00          88     WBSCR22
     244  A     3.364E+00          88     OR5K1
     245  A     3.364E+00          88     HMG20B
     246  A     3.364E+00          88     BTN3A3
     247  A     3.363E+00          88     CLK1
     248  A     3.363E+00          88     OGDH
     249  A     3.363E+00          88     MRPL1
     250  A     3.362E+00          88     PDIA5
     251  A     3.362E+00          88     DCPS
     252  A     3.356E+00          88     ZNF28
     253  A     3.356E+00          88     MNS1
     254  A     3.356E+00          88     LPAR2
     255  A     3.356E+00          88     UPP1
     256  A     3.356E+00          88     MYL6
     257  A     3.356E+00          88     TMEM163
     258  A     3.355E+00          88     HIPK2
     259  A     3.355E+00          88     GALNT6
     260  A     3.355E+00          88     PLS3
     261  A     3.354E+00          88     SCML2
     262  A     3.354E+00          88     SMU1
     263  A     3.354E+00          88     ACVR1B
     264  A     3.353E+00          88     GIPC3
     265  A     3.353E+00          88     VPS54
     266  A     3.353E+00          88     PLA2G4E
     267  A     3.353E+00          88     MRPL19
     268  A     3.353E+00          88     EXD3
     269  A     3.352E+00          88     POTEG
     270  A     3.352E+00          88     FAM20B
     271  A     3.352E+00          88     SORL1
     272  A     3.352E+00          88     MYLK2
     273  A     3.352E+00          88     WDFY1
     274  A     3.351E+00          88     ATL3
     275  A     3.351E+00          88     SPPL3
     276  A     3.350E+00          88     OR8D2
     277  A     3.350E+00          88     CHST10
     278  A     3.350E+00          88     PAICS
     279  A     3.350E+00          88     TAF9B
     280  A     3.349E+00          88     RAP2C
     281  A     3.349E+00          88     HIST1H4F
     282  A     3.349E+00          88     PCP4
     283  A     3.346E+00          88     RNF10
     284  A     3.346E+00          88     ZNF654
     285  A     3.346E+00          88     GNB4
     286  A     3.345E+00          88     SLC35E4
