1553.15973340303,spec-5328-55982-0218.fits,905
1566.8003922863,spec-5324-55947-0886.fits,827
1620.5348700147,spec-1353-53083-0579.fits,519
1721.59109248904,spec-2557-54178-0009.fits,273
1754.28389700646,spec-5301-55987-0190.fits,234
1754.33990844971,spec-2118-53820-0538.fits,1277
1772.71445456342,spec-7235-56603-0338.fits,212
1788.6187013979,spec-5454-56015-0641.fits,625
1789.40533532766,spec-2188-54595-0112.fits,1093
1801.91856669557,spec-1081-52531-0173.fits,1145
1806.22935581133,spec-5331-55976-0504.fits,603
1810.36187943202,spec-2382-54169-0116.fits,295
1811.3468144463,spec-7089-56661-0076.fits,61
1822.1281392926,spec-1788-54468-0050.fits,1114
1823.90177149856,spec-6064-56097-0818.fits,1325
1825.53664744965,spec-7255-56597-0896.fits,524
1870.56496865729,spec-1054-52516-0291.fits,1495
1887.83002872541,spec-2161-53878-0604.fits,1265
1905.01185069801,spec-5015-55707-0294.fits,214
1909.48473137714,spec-6439-56358-0432.fits,69
1954.02341290889,spec-3808-55513-0602.fits,43
1959.41837429359,spec-0991-52707-0359.fits,1531
1971.26602180819,spec-1229-52723-0306.fits,1562
1983.71042973055,spec-1105-52937-0368.fits,1461
2004.30829520985,spec-4242-55476-0780.fits,877
2010.07662680068,spec-0995-52731-0137.fits,1283
2013.58531091902,spec-2359-53826-0199.fits,383
2015.86746615674,spec-7301-56746-0454.fits,1249
2016.00159534018,spec-6512-56567-0742.fits,2062
2024.09156317469,spec-1311-52765-0413.fits,67
2032.7474928451,spec-6053-56091-0724.fits,2275
2038.59702698575,spec-2422-54096-0519.fits,1654
2040.78628546057,spec-4176-55682-0865.fits,1966
2047.02289863597,spec-1232-52731-0467.fits,214
2051.27346344598,spec-2124-53770-0113.fits,165
2058.84313002367,spec-1672-53460-0251.fits,935
2060.34899395065,spec-0509-52374-0631.fits,1413
2067.06117084932,spec-5451-56010-0798.fits,1569
2067.70090001893,spec-6049-56091-0278.fits,361
2072.6643905815,spec-6466-56310-0992.fits,1970
2074.29191187485,spec-1382-53115-0469.fits,102
2081.67795986916,spec-1997-53442-0041.fits,453
2090.14037466991,spec-1568-53169-0578.fits,950
2093.3845613966,spec-1959-53440-0382.fits,377
2104.27987317243,spec-2620-54339-0453.fits,423
2108.3966463522,spec-1026-52558-0067.fits,208
2111.40895974301,spec-5027-56218-0605.fits,1780
2111.46930852061,spec-6620-56368-0501.fits,1610
2113.02718994076,spec-6406-56330-0456.fits,71
2113.48033544017,spec-2356-53786-0499.fits,112
2114.00979000223,spec-5336-55957-0105.fits,1898
2119.79491685424,spec-5111-55840-0716.fits,1442
2120.09200896278,spec-3755-55504-0496.fits,1374
2120.43092235296,spec-6125-56273-0414.fits,1766
2121.03468663309,spec-0632-52071-0263.fits,515
2123.14227372174,spec-1719-53876-0095.fits,70
2123.64558438395,spec-6754-56414-0896.fits,2048
2124.03301433012,spec-0314-51641-0211.fits,825
2124.11080451538,spec-1728-53228-0337.fits,1269
2125.08640470396,spec-6465-56279-0857.fits,1942
2128.74225276395,spec-6447-56362-0485.fits,1813
2131.09481599884,spec-0390-51900-0010.fits,1143
2131.12276351229,spec-4801-55653-0130.fits,2216
2131.6797817447,spec-2261-53612-0404.fits,23
2133.13820948685,spec-5397-55944-0285.fits,2190
2136.58298275014,spec-6145-56266-0755.fits,271
2137.38334932524,spec-2913-54526-0229.fits,22
2137.77574346899,spec-7395-57131-0208.fits,1142
2139.63981527908,spec-1397-53119-0412.fits,1548
2140.73095798596,spec-7258-56605-0453.fits,1637
2141.38355652095,spec-6461-56329-0925.fits,1945
2142.34804513777,spec-5972-56334-0558.fits,1002
2142.42262692102,spec-4870-55923-0229.fits,1882
2143.04939215158,spec-1923-53319-0383.fits,582
2143.58930288643,spec-0924-52409-0636.fits,233
2143.67225709867,spec-1757-53083-0437.fits,32
2143.92174925461,spec-6803-56402-0747.fits,2245
2144.50164815247,spec-4058-55358-0634.fits,2048
2145.18837683761,spec-4347-55830-0615.fits,1161
2146.85726172454,spec-6161-56238-0336.fits,1350
2147.70837169061,spec-6656-56624-0929.fits,1250
2148.73630685886,spec-4611-55603-0878.fits,47
2148.93557986142,spec-0750-52235-0328.fits,356
2150.29779246932,spec-1626-53472-0286.fits,39
2151.92473455279,spec-5793-56337-0530.fits,771
2152.91639401283,spec-1437-53046-0166.fits,723
2153.22332161203,spec-7424-57160-0977.fits,2181
2154.15535685561,spec-1301-52976-0123.fits,596
2155.74976370786,spec-7257-56658-0239.fits,190
2156.0469131787,spec-4039-55648-0759.fits,2200
2156.23286140509,spec-0935-52643-0464.fits,1571
2156.56623684147,spec-4494-55569-0447.fits,196
2157.24812007025,spec-1685-53463-0384.fits,1568
2157.55915854821,spec-4464-55866-0887.fits,1322
2159.79055232016,spec-5047-55833-0214.fits,482
2161.84447020003,spec-6008-56093-0606.fits,639
2165.21379815327,spec-4391-55866-0036.fits,185
2165.34114876432,spec-2634-54110-0244.fits,323
2166.52209636647,spec-2179-53555-0564.fits,1130
2167.71407604043,spec-5302-55896-0613.fits,276
