    Rank Group    Score       Missing     Variable
     160  F     4.351E-04           0     REEP6
     161  F     4.351E-04           0     NAT6
     162  F     4.078E-04           0     GTF2IRD1
     163  F     4.027E-04           0     PLXNA4
     164  F     3.993E-04           0     CYLC1
     165  F     3.990E-04           0     MEIS1
     166  F     3.768E-04           0     CFHR5
     167  F     3.269E-04           0     GFPT1
     168  F     2.982E-04           0     WDR19
     169  F     2.634E-04           0     LHFPL3
     170  F     1.898E-04           0     IGSF10
     171  F     1.323E-04           0     FAM50A
     172  F     9.619E-05           0     BAZ2A
     173  F     9.166E-05           0     TECTA
     174  F     8.915E-05           0     GALNT15
     175  F     8.807E-05           0     COL6A3
     176  F     7.361E-05           0     XPC
     177  F     7.261E-05           0     EED
     178  F     7.170E-05           0     NOL6
     179  F     6.689E-05           0     THSD4
     180  F     5.895E-05           0     SLIT3
     181  F     5.575E-05           0     DLX5
     182  F     5.252E-05           0     SCN3A
     183  F     5.090E-05           0     LAMB3
     184  F     4.915E-05           0     RNF13
     185  F     4.800E-05           0     TMEM115
     186  F     4.792E-05           0     KDR
     187  F     4.783E-05           0     KIAA0319
     188  F     4.723E-05           0     DTX1
     189  F     4.688E-05           0     NDEL1
     190  F     4.491E-05           0     ATRX
     191  F     4.413E-05           0     FMR1
     192  F     4.370E-05           0     MYCBP2
     193  F     4.144E-05           0     RYR1
     194  F     4.140E-05           0     NAALADL2
     195  F     4.111E-05           0     PPM1K
     196  F     4.111E-05           0     BIN2
     197  F     4.089E-05           0     LLGL1
     198  F     4.022E-05           0     RELN
     199  F     3.938E-05           0     FASTK
     200  F     3.909E-05           0     DNAJC11
     201  F     3.858E-05           0     MAGED1
     202  F     3.817E-05           0     MAGI2
     203  F     3.764E-05           0     HOXB3
     204  F     3.744E-05           0     INPP5F
     205  F     3.392E-05           0     SVEP1
     206  F     3.382E-05           0     IL1RL2
     207  F     3.354E-05           0     MAGEA8
     208  F     3.266E-05           0     TMEM198
