    Rank Group    Score       Missing     Variable
     155  F     1.348E-03           5     AGE_SAMPLING
     156  F     1.301E-03         217     OS_MONTHS
     157  F     1.276E-03           0     NHS
     158  F     1.188E-03         217     EXPRESSION_CLUSTER
     159  F     1.141E-03           0     TRIM24
     160  F     1.096E-03           0     DHX8
     161  F     1.048E-03           0     CASD1
     162  F     9.895E-04           0     VPS18
     163  F     9.300E-04         217     OS_STATUS
     164  F     9.290E-04         217     DEATH_DAYS
     165  F     8.855E-04           0     SECISBP2
     166  F     8.468E-04         808     U1_STATUS
     167  F     7.994E-04           0     CYLC1
     168  F     7.979E-04         217     FFS_STATUS
     169  F     6.896E-04           0     TMEM132B
     170  F     6.061E-04           0     GTF2IRD1
     171  F     5.835E-04           0     SVOPL
     172  F     5.647E-04           0     CBLB
     173  F     5.631E-04           0     MEIS1
     174  F     5.377E-04           0     LHFPL3
     175  F     5.169E-04           0     DNAH9
     176  F     4.963E-04           0     CFHR5
     177  F     4.020E-04           0     TRHDE
     178  F     3.507E-04           0     HPN
     179  F     3.474E-04           0     CDON
     180  F     3.474E-04           0     HAPLN4
     181  F     3.474E-04           0     MMP11
     182  F     3.474E-04           0     NAT6
     183  F     3.474E-04           0     TAF6L
     184  F     3.474E-04           0     COPG1
     185  F     3.474E-04           0     CDK5
     186  F     3.474E-04           0     RNF169
     187  F     3.474E-04           0     C17orf59
     188  F     3.474E-04           0     INPP5A
     189  F     3.474E-04           0     REEP6
     190  F     3.474E-04           0     VDR
     191  F     3.348E-04           0     PRSS58
     192  F     3.294E-04           0     IGSF10
     193  F     3.108E-04           0     PLXNA4
     194  F     2.689E-04           0     CNOT3
     195  F     1.952E-04         217     FFS_MONTHS
     196  F     1.902E-04           0     FAM50A
     197  F     1.749E-04           0     DISEASE_TYPE
     198  F     1.749E-04           0     ONCOTREE_CODE
     199  F     1.713E-04           0     TUMOR_SAMPLE_PURITY
     200  F     1.522E-04           0     CPB1
     201  F     1.420E-04           0     COL6A3
     202  F     1.369E-04           0     DLX5
     203  F     1.259E-04           0     WDR19
     204  F     1.221E-04           0     TUMOR_SAMPLE_PLOIDY
     205  F     1.193E-04           0     PPM1K
     206  F     1.193E-04           0     BIN2
     207  F     1.133E-04           0     BMPR1B
     208  F     1.097E-04           0     LAMB3
     209  F     1.075E-04           0     NDEL1
     210  F     9.099E-05         560     TUMOR_MOLECULAR_SUBTYPE
     211  F     8.395E-05           0     MAGI2
     212  F     8.307E-05        2318     TREATMENT_AFTER_SAMPLING
     213  F     7.669E-05           0     C11orf63
     214  F     7.532E-05           0     RNF13
     215  F     7.341E-05           0     FMR1
     216  F     7.292E-05           0     NOL6
     217  F     6.944E-05           0     TMEM198
     218  F     6.882E-05           0     BAZ2A
     219  F     6.782E-05           0     XPC
     220  F     6.768E-05           0     TECTA
     221  F     6.612E-05           0     MAGED1
     222  F     5.686E-05           0     GSK3B
     223  F     5.568E-05           0     THSD4
     224  F     5.504E-05           0     MAMLD1
     225  F     5.394E-05           0     MYH6
     226  F     5.351E-05           0     FAP
     227  F     5.301E-05           0     OXT
     228  F     5.143E-05           0     KDR
     229  F     5.125E-05           0     DTX1
     230  F     4.926E-05           0     GABRD
     231  F     4.707E-05          47     IGHV_MUTATION_STATUS
     232  F     4.564E-05           0     MYCBP2
     233  F     4.449E-05           0     INPP5F
     234  F     4.352E-05           0     FASTK
     235  F     4.276E-05           0     TMUB1
     236  F     4.272E-05           0     IL1RL2
     237  F     4.191E-05           0     NAALADL2
     238  F     4.164E-05           0     KIAA0368
     239  F     4.096E-05           0     RELN
     240  F     4.031E-05           0     SCN3A
     241  F     4.017E-05           0     ZNF394
     242  F     3.915E-05           0     GALNT15
     243  F     3.817E-05           0     CD36
     244  F     3.482E-05           0     MMRN1
